timestamp_utc,event_type,mode,sym,parent_order_id,order_id,direction,qty_delta,qty_open,fill_price,pnl_delta_usd,realized_pnl_usd,status,note
2026-04-15T14:05:48.696972+00:00,ENTRY_FILL,paper,NDAQ,56252357091,56252357091,LONG,1124.0,1124.0,88.28,0.0,0.0,retcode=10009,MT5 market order filled
2026-04-15T14:08:21.262254+00:00,POSITION_CLOSED,paper,NDAQ,56252357091,56252357091,LONG,0.0,0.0,0.0,0.0,0.0,closed,"Position closed, opened_at=2026-04-15T14:05:48.696905+00:00"
2026-04-15T14:08:22.451690+00:00,ENTRY_FILL,paper,NDAQ,56252404192,56252404192,LONG,1040.0,1040.0,88.48,0.0,0.0,retcode=10009,MT5 market order filled
2026-06-08T12:19:13.148246+00:00,MANUAL_ENTRY,live,US30,180286172,180286172,LONG,0.01,0.01,0.0,0.0,0.0,TRADE_RETCODE_DONE,Manual MetaApi market order submitted through bot execution engine
2026-06-08T12:22:50.510902+00:00,POSITION_CLOSED,live,US30,180286172,180286172,LONG,0.0,0.0,0.0,0.0,0.0,closed,"Position closed, opened_at=2026-06-08T12:19:13.148219+00:00, pnl unavailable from terminal state"
