,open,high,low,close,volume
2026-04-12 00:00:00+00:00,83.04,83.62,82.3,83.16,6650.0
2026-04-19 00:00:00+00:00,82.77,89.73,82.77,88.61,28238.0
2026-04-26 00:00:00+00:00,88.56,90.44,84.88,89.9,37505.0
2026-05-03 00:00:00+00:00,90.87,91.67,89.64,91.32,18049.0
2026-05-10 00:00:00+00:00,90.57,93.01,88.59,89.2,24844.0
